iter	Passed	Remaining
400	14666	21908
401	14692	21855
402	14733	21826
403	14771	21791
404	14810	21757
405	14830	21698
406	14863	21656
407	14891	21607
408	14920	21560
409	14969	21541
410	14998	21494
411	15051	21480
412	15097	21457
413	15151	21446
414	15197	21422
415	15229	21380
416	15273	21353
417	15303	21308
418	15334	21263
419	15358	21209
420	15387	21162
421	15412	21110
422	15461	21091
423	15495	21050
424	15532	21014
425	15561	20967
426	15602	20936
427	15628	20886
428	15664	20849
429	15689	20797
430	15734	20772
431	15767	20730
432	15801	20692
433	15833	20649
434	15866	20608
435	15890	20554
436	15921	20512
437	15960	20479
438	15980	20421
439	16011	20377
440	16043	20336
441	16072	20290
442	16110	20256
443	16144	20216
444	16167	20163
445	16200	20123
446	16227	20075
447	16252	20025
448	16308	20012
449	16348	19981
450	16384	19944
451	16430	19920
452	16469	19886
453	16502	19847
454	16543	19815
455	16569	19767
456	16598	19721
457	16626	19676
458	16666	19643
459	16685	19587
460	16724	19554
461	16760	19518
462	16803	19489
463	16832	19444
464	16872	19412
465	16902	19369
466	16948	19343
467	16972	19293
468	17002	19249
469	17039	19215
470	17088	19192
471	17114	19145
472	17141	19098
473	17163	19046
474	17197	19007
475	17245	18984
476	17264	18929
477	17292	18884
478	17328	18847
479	17363	18809
480	17386	18760
481	17425	18727
482	17460	18689
483	17494	18650
484	17534	18619
485	17567	18579
486	17601	18540
487	17628	18495
488	17646	18440
489	17670	18391
490	17709	18358
491	17742	18319
492	17772	18277
493	17802	18235
494	17835	18195
495	17867	18155
496	17895	18112
497	17931	18075
498	17971	18043
499	18007	18007
500	18047	17975
501	18093	17949
502	18120	17904
503	18173	17885
504	18222	17861
505	18248	17816
506	18307	17801
507	18337	17759
508	18389	17739
509	18438	17715
510	18476	17680
511	18529	17660
512	18573	17631
513	18604	17590
514	18619	17535
515	18671	17513
516	18713	17482
517	18739	17436
518	18773	17398
519	18809	17363
520	18853	17333
521	18886	17294
522	18929	17264
523	18961	17224
524	18999	17190
525	19036	17154
526	19078	17123
527	19114	17087
528	19154	17054
529	19205	17031
530	19243	16996
531	19269	16951
532	19295	16906
533	19346	16883
534	19380	16844
535	19427	16817
536	19464	16782
537	19501	16746
538	19545	16716
539	19583	16681
540	19608	16636
541	19626	16584
542	19668	16553
543	19698	16511
544	19738	16478
545	19767	16437
546	19812	16407
547	19852	16375
548	19884	16334
549	19920	16298
550	19957	16262
551	19989	16223
552	20022	16184
553	20086	16170
554	20132	16142
555	20167	16105
556	20205	16070
